feature,coef
kenya,-0.11817798549128171
applicant monthly,-0.11801356120336713
russian government,-0.11798777389706906
answer sor allege,-0.11780295997874111
irgc,-0.11763626215167869
identification card,-0.11727524559396835
old applicant born,-0.11706499859849946
militant,-0.11705476761917101
want,-0.11693630492744708
submitted make following,-0.11652479872303775
submitted make,-0.11652479872303775
citizen iraq,-0.11638814739952136
report report,-0.11632192882779417
unresolved,-0.11630676330579727
human,-0.11565745408605352
union,-0.11514480371823506
assembly,-0.1151354240881126
fear,-0.11461519582852746
arbitrary arrest detention,-0.11440725384375983
detention,-0.11432457551381728
say applicant,-0.11395175632113899
testimony,-0.11334565762225352
fail,-0.11315177756806649
additionally,-0.11298496108762919
500,-0.1128606861860242
entity,-0.11250244796128268
insurgent,-0.11248839013776535
position,-0.1122633775388619
mother pass,-0.11121950545523161
mother pass away,-0.11121950545523161
applicant fail list,-0.11054037415425406
niece,-0.11051867454863802
potential,-0.11037223082247016
romantic relationship,-0.11031051163436095
terrorist attack,-0.11023473024995264
terrorism,-0.11011447583145147
april,-0.10995119986474144
insurance,-0.10977709128223663
terrorist insurgent,-0.10962264913923546
exhibit submitted,-0.10932206038046219
exhibit submitted make,-0.10932206038046219
resident sudan,-0.10932203669135154
citizen resident sudan,-0.10932203669135154
fact applicant year,-0.10866596473551932
march,-0.10865960979308652
april 2016,-0.10796101861539871
female friend,-0.10792181736648274
travell,-0.10780669039661595
set forth,-0.10759204284718388
52,-0.10726262162317986
eldest,-0.10708852383836093
cohabitant,-0.10698264664675003
militia,-0.10696040968642151
national,-0.1068652726418888
visit applicant,-0.10681631909546112
applicant say applicant,-0.10679933828864328
benefit,-0.10675748822994606
terrorist group,-0.10652743628388621
mention,-0.10647245694610524
police officer,-0.10646424344614146
department state warn,-0.10637961754096598
state warn,-0.10637961754096598
applicant girlfriend,-0.1062311100366452
sisters,-0.10608739916818033
weekly telephone,-0.10589683080450464
human right,-0.1056918192132055
applicant offer,-0.10531783074840752
admission,-0.10526961542013658
2015,-0.10486713848654985
testify applicant,-0.10484076744240546
submitted,-0.1048314238421762
taiwanese passport,-0.10476641472131767
offer,-0.10475194537563288
debts,-0.10469319834966123
000 applicant,-0.10452549244276263
social,-0.10442606356677193
school,-0.10434542058972968
tourist,-0.10433678002064221
visit iraq,-0.10402724061097172
tr 13 15,-0.10388106775272353
dual,-0.10383411809493814
soviet,-0.1033072945561572
september,-0.10317573959559326
government applicant,-0.10310594414275387
person applicant,-0.10298991310746357
2016 sca applicant,-0.10293908431792889
numerous,-0.10287897494398864
2010,-0.10279444378410164
time,-0.10255379619856343
contact applicant,-0.10254375360462681
age,-0.10236061732727351
fuel,-0.10230020671856974
chinese government,-0.10214075446748694
site,-0.10178376747046576
identification,-0.10163993575900086
china applicant,-0.10149736101009668
jordanian,-0.10140194534371416
doctorate,-0.10124562127909136
november 2016,-0.10122443312674576
uk,-0.1011966472261607
uzbekistan,-0.1007630466632404
son,-0.1006778072676085
ex,-0.10057254413007108
applicant want,-0.10056577772246364
dual russian,-0.10054290624432964
prc applicant,-0.10045966939158292
20 26,-0.09988955819399438
000 tr,-0.09983026793033518
applicant weekly contact,-0.09968857908124969
year old brother,-0.09966571952978061
claim applicant,-0.0995355880961903
information provide,-0.0994850940155191
corruption,-0.09946813952405897
egyptian government,-0.09940810227810715
daughters,-0.09916799615981689
aunt,-0.09904045993635907
26,-0.09892516451640417
applicant send money,-0.0989145460654219
officials,-0.09881269665501977
item sor,-0.09878956825130729
transfer,-0.09848032035988433
political,-0.09787407691207425
sexual,-0.09769391728736185
regular,-0.0976356073103468
taiwan unite,-0.09750502764188348
ceremony,-0.09747911279654539
beijing,-0.09728557727917393
protest,-0.09705605169225276
legally,-0.09679406374861119
house,-0.0967456524137221
numerous terrorist,-0.09662915207353907
sell house,-0.09660615580505273
september 2017,-0.09652963191408132
fail list,-0.09648125482481382
north,-0.09645158274711495
applicant enter unite,-0.09640240103984617
attack target,-0.09630879322826487
taiwanese,-0.09610491722688651
applicant claim applicant,-0.09609417389772511
applicant continue,-0.09598536365152217
applicant submit evidence,-0.095930054609776
submit evidence,-0.095930054609776
iraqi ministry,-0.0958871171284408
case,-0.09574708831981586
22 26,-0.09568899132461248
applicant mother father,-0.09560131307324396
telephone contact,-0.09542136753053272
employ time,-0.0953492796585989
2019,-0.09510290453522798
applicant enter,-0.09505664395554458
lebanon applicant,-0.09500067402987543
lack,-0.09498041683005987
applicant return,-0.09496409617510689
march 2022,-0.0944128355397058
careful review pleading,-0.09432384776290678
sca applicant report,-0.0942885133670681
pastdue debt,-0.09424285326667789
stepmother,-0.0938268344143628
item applicant mother,-0.09367650158430718
contain,-0.09353025869383567
52 applicant,-0.09343173799398294
applicant second,-0.09340145530593859
applicant admit allegation,-0.09320542916081119
sister year old,-0.09310117264545024
cyber espionage,-0.09307302067188845
institutions,-0.09307053780725527
13 15,-0.09296440520337218
tell investigator,-0.0928940481575206
money mother,-0.09284704007522943
applicant unaware,-0.09275568263605412
director,-0.09273566192737456
repay,-0.09259532877657053
contact family,-0.09251295919910486
applicant speak,-0.09248701261188917
july,-0.09230129847063198
2019 interview,-0.09222138619251817
total,-0.09195374814659263
tr 53,-0.091919820722393
afford,-0.09183677824339762
affair,-0.09170522201515437
policy,-0.09164855437220323
visit china,-0.0915650994341644
group,-0.09154607309826748
400,-0.0914656167031918
applicant state applicant,-0.09136596748247292
fiancée,-0.09135876106692625
tr 12,-0.0912637060941564
tr 15,-0.09112028816411591
afghanistan tr,-0.09107401834183308
week,-0.09101779666134739
fight,-0.09086457692057032
2008 applicant,-0.09063436678560072
occur,-0.09059438576252177
department state,-0.09047864988076168
forth,-0.09024210584701632
brother employ,-0.09020288274206587
stamp,-0.09003742719226589
2016 applicant travel,-0.08979155071463184
february 2016,-0.08971874428230389
borrow,-0.08967878949517626
pakistan government,-0.08967588557521197
opposition,-0.08958717789415105
weekly basis,-0.08956810848057087
46,-0.0895640122874137
