feature,coef
august 2013,-0.027412113060720788
661,-0.027412113060720788
august 2013 applicant,-0.027412113060720788
future,-0.027368957215599208
formal,-0.02732557630742034
government computer,-0.027315384946199176
work defense,-0.02722732551017935
student loan,-0.0272235253644425
sexual behavior,-0.027169376602000396
youtube video,-0.027102429539461726
applicant copy,-0.0270888691880914
tax transcript,-0.027087462797333452
bankruptcy,-0.027087462797333452
applicant continue,-0.02708507094250377
applicant use government,-0.026963171143696486
2001 2015,-0.02694620950260906
examination,-0.026941786619785725
applicant unaware,-0.026861325976722406
recall,-0.02668320567904822
applicant notify,-0.02659580440352809
clothing,-0.026493527821796547
church,-0.026479264161025216
divorce,-0.026440107902237324
suspend,-0.026421418730221448
girls,-0.02640424518558765
mode,-0.02632310185703
foreign military,-0.0262752324195124
caf,-0.0262752324195124
112,-0.026234398833652778
datum personal,-0.026130618669060586
tax year,-0.026114093402622243
engage misconduct,-0.02609934699721228
polygraph examination,-0.02609934699721228
applicant engage misconduct,-0.02609934699721228
contain sexually explicit,-0.026032145373807363
contain sexually,-0.026032145373807363
90 94 97,-0.0260207651456241
94 97,-0.0260207651456241
tr 78 90,-0.0260207651456241
look pornography work,-0.0260207651456241
78 90 94,-0.0260207651456241
78 90,-0.0260207651456241
97 105,-0.0260207651456241
94 97 105,-0.0260207651456241
97 105 112,-0.0260207651456241
issue laptop,-0.025840052940275367
2020 applicant,-0.025819872402060125
applicant work current,-0.025619021055350785
reveal,-0.025480662588716438
inappropriate content tr,-0.025455249723520645
image contain,-0.025455249723520645
sexually orientated inappropriate,-0.025455249723520645
content tr page,-0.025455249723520645
orientated,-0.025455249723520645
orientated inappropriate,-0.025455249723520645
computer store view,-0.025455249723520645
image contain sexually,-0.025455249723520645
computer store,-0.025455249723520645
view image contain,-0.025455249723520645
content tr,-0.025455249723520645
explicit sexually orientated,-0.025455249723520645
orientated inappropriate content,-0.025455249723520645
compulsive,-0.025455249723520645
averred,-0.025455249723520645
store view image,-0.025455249723520645
sexually orientated,-0.025455249723520645
store view,-0.025455249723520645
introduce,-0.02544010014928412
work defense contractor,-0.025337978053859445
sor applicant,-0.02530299947092079
question,-0.025255949539553717
applicant view adult,-0.02524796757580173
august 19,-0.02524796757580173
august 19 2015,-0.02524796757580173
work laptop computer,-0.02524796757580173
child pornography image,-0.02524796757580173
19 2015,-0.02524796757580173
december 19 2016,-0.02524796757580173
pornography image,-0.02524796757580173
explicit sexually,-0.025213005664639757
sexually explicit sexually,-0.025213005664639757
access pornography,-0.025209812221702127
present,-0.025101792963233848
company tablet,-0.02489743218466478
software applicant,-0.02486226903951905
antenna,-0.02481849482164507
activity,-0.024809730221304643
transfer company,-0.024800605416264814
aver,-0.024792082480991323
applicant aver,-0.024792082480991323
multiple occasion,-0.02470685738934261
computer access,-0.02469720972345983
applicant make,-0.024675726429118652
contractor company,-0.02465880768755283
use company computer,-0.024497998982446687
protection,-0.024483336371175623
finding fact,-0.024421387216407298
eip tr,-0.024378716517600114
applicant use personal,-0.02435299960267237
master degree,-0.02433982156276574
testify applicant,-0.02426382382080729
career,-0.024170503256375694
report applicant,-0.02413126744510299
ethical,-0.024097103098302722
violation company policy,-0.02404858750929915
guideline,-0.02397603722021134
intent,-0.023965138157870308
unauthorize software,-0.023930339696513057
sic,-0.023865899840298365
view adult pornography,-0.023854149785699084
view adult,-0.023854149785699084
applicant illegally download,-0.023812751534851465
2005,-0.02380051499407037
tr 40,-0.023756296434632652
old applicant,-0.02375029316634641
year old applicant,-0.02375029316634641
response sor,-0.023748378840137783
option,-0.023703006141831344
mwr computer,-0.02362695562841953
mwr,-0.02362695562841953
applicant time,-0.02360358193318542
defense contractor company,-0.023571985340062388
laptop view,-0.023511965423351943
stream,-0.023478375156492655
notify applicant,-0.023471928075689374
clean,-0.023396344608390435
report,-0.023287225853311336
occur,-0.023285768713569032
delinquent,-0.023187733845349813
federal,-0.023065469425377745
85,-0.023062034155736322
conduct applicant admit,-0.023011161598951384
pastor,-0.022939803814992447
tr 45,-0.02291859833795569
policy regarde,-0.02290273904173675
company policy regarde,-0.02290273904173675
direct,-0.022870230186888083
2016 company,-0.02286108626361325
resign lieu,-0.0228340864356361
sexual addiction,-0.022823233607543725
act misconduct,-0.022823233607543725
july 2019,-0.022818599686793662
applicant answer,-0.02278307165482323
period applicant,-0.02278201019323333
pornography home,-0.02278093490297785
applicant recall,-0.022748598416062134
browser,-0.022743631389046292
explain,-0.022709339881975328
applicant order,-0.02269045712446882
remember,-0.022623726105280812
interrogatory,-0.02261063438377203
company issue laptop,-0.022549447689162568
applicant able,-0.022547024498072207
mitigation,-0.022541574593913025
tr 39,-0.022500397769920567
work relate,-0.022479903201733254
september 2017 applicant,-0.022466590664957174
suspended,-0.0224661057942473
violation company,-0.02246263849337941
avoid,-0.022419935664248873
cyber security,-0.022359814998682438
suggest,-0.022316672294103765
plan,-0.022314217720041735
77 90,-0.02230351298196352
product,-0.022282253419781257
taxis,-0.022258359383178737
145,-0.022216180008735625
protect,-0.022213062603616197
tr 42,-0.022196357171651863
86 applicant,-0.022164689241024767
cyber,-0.022162804948431036
personal usb drive,-0.02215581183826862
notice,-0.022152245146588426
sca question,-0.022099605732071224
mr testify,-0.022088659974629235
vice,-0.022042798912204127
regard,-0.022025990926482844
applicant report,-0.02200280548415267
lieu termination applicant,-0.021978375215307915
applicant multiple,-0.021974544458693315
2019 company,-0.02196375063512789
administrator access,-0.02195808113543296
current employer,-0.02195658575915098
voluntarily,-0.021933628005274017
applicant voluntarily,-0.021933628005274017
forensic review,-0.021929380914432438
counterintelligence,-0.021929380914432438
hacking,-0.021861083029871706
applicant remember,-0.0217830295385467
copy file,-0.021770277724484966
57 applicant,-0.021733486429197597
password protect,-0.02171618296893944
consume edibles,-0.02171618296893944
disciplinary action,-0.021706306298942532
admit applicant,-0.021684137074449734
irs tax transcript,-0.021669970237866765
tax debt,-0.021669970237866765
september 2015,-0.02163147381797613
initiate,-0.02162335649461658
girls age,-0.02155696760208725
15 model,-0.02155696760208725
save image nake,-0.02155696760208725
save image,-0.02155696760208725
image nake,-0.02155696760208725
11 15,-0.02155696760208725
sexual assault,-0.02155696760208725
image nake woman,-0.02155696760208725
nake woman,-0.02155696760208725
assault,-0.02155696760208725
pose,-0.021554654908594525
june 2022,-0.021548688837057028
development,-0.021545738320025605
applicant twice,-0.021516790648745388
view pornography home,-0.021501890794411248
applicant admit allegation,-0.021441276407198496
admit allegation,-0.021441276407198496
save,-0.021424937757689458
uncle,-0.021367417319096315
regional,-0.021367417319096315
43 applicant,-0.021318928585140624
days,-0.02127952042515743
applicant answer sor,-0.02122945499687695
browse,-0.021211995451352366
monitor,-0.02115936749713593
hardware,-0.021152241397382865
access pornographic website,-0.021125779524096135
virus malware,-0.02109001771975482
access sensitive,-0.021001907787593935
personal thumb,-0.020989919742740948
applicant permit,-0.020930370309590284
credit report,-0.02092258648763053
applicant know misconduct,-0.020879477597769827
prohibited choose engage,-0.020879477597769827
choose engage,-0.020879477597769827
prohibited choose,-0.020879477597769827
policy statement,-0.020879477597769827
misconduct prohibited choose,-0.020879477597769827
applicant multiple occasion,-0.020879477597769827
know misconduct prohibited,-0.020879477597769827
misconduct prohibited,-0.020879477597769827
know misconduct,-0.020879477597769827
applicant seek,-0.020690203363612825
lie applicant,-0.020681928217027756
conference,-0.02066255254269231
game,-0.02065653450602021
line page,-0.020653705634686412
page line page,-0.020653705634686412
defense contractor,-0.020653633101772942
pornographic video,-0.020631304734899453
forensic,-0.020611757702014837
reprimanded suspended,-0.020564131174582553
