feature,coef
enc applicant,-0.04050323656517053
teenage,-0.0403434098602033
jail,-0.04033063792857393
don,-0.04029144469891933
carolina,-0.040242196177027886
north carolina,-0.040242196177027886
master,-0.04020779159992313
read,-0.04016537855034094
applicant engage prostitution,-0.03997473330308382
applicant sentence,-0.039939827168017666
work federal,-0.03982540350558846
ae applicant,-0.03980326740819049
probation officer,-0.0397750480804937
submit letter,-0.03971083546621179
nake,-0.03968687324749485
police applicant,-0.03967893825460825
jamie,-0.039602743805988175
month,-0.03947020909149166
carolina hawaii,-0.03946644375224558
north carolina hawaii,-0.03946644375224558
guam north,-0.03946644375224558
guam,-0.03946644375224558
hawaii,-0.03946644375224558
guam north carolina,-0.03946644375224558
time week,-0.039438527410576914
cell,-0.03929071443657456
cell phone,-0.03929071443657456
degree,-0.03917686716568055
interview,-0.03910367179374512
months applicant,-0.03898352590891656
occasion applicant,-0.03897067600754705
hire prostitute,-0.03891531616959505
couch,-0.038908670491704926
swingers party,-0.03875081104256838
swingers,-0.03875081104256838
decide,-0.03872023445907221
inappropriately,-0.03852592924475232
store,-0.038364808858665035
2014 applicant,-0.03827424198458423
applicant view pornography,-0.038267280282944564
applicant lie,-0.03824101483247036
decision,-0.03818458672107684
company issue,-0.03802667420505866
alford,-0.037882254340916154
video,-0.03780968503389216
january 2018 applicant,-0.03768022866173408
cocaine,-0.03766975343934567
use company,-0.03766195609114019
assess,-0.03762592524638993
iraq,-0.03762511741866815
trial,-0.03756489628035294
letter recommendation,-0.03753989790191832
perform oral,-0.03750344655194706
perform oral sex,-0.03750344655194706
state tax,-0.0374570254840721
applicant indicate,-0.03744457390928916
concern,-0.03736916575989743
ae answer sor,-0.037361413019590464
session,-0.03730446411497065
national ms online,-0.03722940011130466
ms online date,-0.03722940011130466
date site,-0.03722940011130466
online date,-0.03722940011130466
ms online,-0.03722940011130466
online date site,-0.03722940011130466
criminal conduct applicant,-0.03719732035310923
sor tr,-0.03718092985302088
dcis,-0.037163832047906055
2012,-0.037075011203380116
irs tax,-0.03704210085634707
picture,-0.037015106318316525
applicant know age,-0.03700297685539573
room,-0.036809660446903814
2013 applicant,-0.03678611356719624
fiancée,-0.03676100135571048
adopt,-0.03675535671675382
drove,-0.036724401935281974
2016 applicant,-0.03668335244057754
secure,-0.03663151982040641
29,-0.03652652417051704
applicant testify applicant,-0.03651982641637812
em report,-0.03650941203252396
es,-0.03650941203252396
sexual intercourse applicant,-0.03625148234974994
sexual fantasie,-0.0362359563985732
come,-0.03620271090667223
october 2018 applicant,-0.036086770336323674
inappropriately touch,-0.03595494377977145
august 2013,-0.03591654687936994
applicant victim,-0.03590083344912826
contractor january,-0.03569265903564915
ge 13,-0.03559185442550196
1986,-0.03551736470128233
affairs,-0.03535694048233322
minor student,-0.03530973140071499
inside,-0.03529597835779405
sor allegation,-0.03525556700957781
know age applicant,-0.0350411660175742
information,-0.03503820717273993
ge 12,-0.03494466687280937
incest,-0.03489968634265567
foreign,-0.03482577655498777
breast,-0.03481986525879362
community,-0.03480484461844007
company issue computer,-0.03477120169719591
industry,-0.03472257519105429
a3,-0.034642497425929814
spend,-0.03463691318352592
upgrade,-0.03455181958499135
sor tr page,-0.03451776531309451
16 applicant,-0.034495121796675875
september 2017,-0.034415380851904986
friend,-0.03437508640686933
cw1,-0.03435547363739028
don know,-0.034346625811007614
items applicant,-0.03433282007037103
large,-0.0342713464641556
traffick,-0.03420036531466886
honorably,-0.03415605208773183
aggravate,-0.03415539019651151
tax transcript,-0.034064071044417187
february 2016,-0.03403522663093022
applicant know applicant,-0.034005451830375684
completion,-0.03397929877113673
hack,-0.03391719276273877
fail,-0.03388647887060483
problem,-0.033766709833990924
financial,-0.03374267363466523
admission,-0.03363058877152807
turn 16,-0.0336157523553886
january 2018,-0.03348687017900374
residence,-0.033359455177827645
2009 applicant,-0.03335821218517954
hotel room,-0.033343442397304496
similar,-0.033300105931648984
genitalia,-0.033284206955422065
intoxicate,-0.03323295549961915
sister law,-0.03322007882312112
examiner applicant,-0.03321949956978184
polygraph examiner applicant,-0.03321949956978184
alford plea,-0.03314697254830164
form item,-0.03314697254830164
2010 2011,-0.033063096387156495
begin,-0.032972933411559206
state applicant know,-0.032904458351051775
oral,-0.032901518662552316
participate,-0.03287348862535757
work hard,-0.03283883397483211
psychologist conclude applicant,-0.03280526761650345
psychologist conclude,-0.03280526761650345
effect,-0.03279479339448232
habit,-0.03277926094638911
poor,-0.03270313677781859
confinement,-0.032637012715318194
applicant pay prostitute,-0.03263547896854576
children applicant,-0.03262547736573431
sex act,-0.03255784775738753
evidence,-0.032522383737879086
applicant engage extramarital,-0.032465158311354894
extramarital affairs,-0.032465158311354894
engage extramarital,-0.032465158311354894
timely,-0.03245955417991449
admit june,-0.03243944071457619
applicant admit june,-0.03243944071457619
question police,-0.03242784719016598
answer enc applicant,-0.032402589252136425
add,-0.03239647727886663
vary,-0.03238148569137032
2024,-0.03234080173110897
bordello,-0.032323890901204674
1976,-0.03222059999635807
defense industry,-0.03214930853785875
applicant submit letter,-0.03212166031027706
street,-0.032045223283731876
alcohol applicant,-0.03197329180413055
scammer,-0.03191091438111828
type,-0.03183993211982029
unit,-0.031824858761762644
positive,-0.031810983314042175
intoxicated,-0.031784945998278226
applicant masturbate,-0.0317658867270143
contend,-0.03174942267222351
applicant serve navy,-0.03172137569233249
serve navy,-0.03172137569233249
north,-0.03161425225454384
tr 28,-0.03161199068250889
cohabitant son,-0.031601204951446436
previous,-0.031564819107505415
fact,-0.03151677112342064
cohabitant,-0.03146541343358332
end divorce,-0.031409745736422696
judge,-0.03137639959116424
immigrant,-0.03136320206271634
social medium,-0.03135171943230119
18 25,-0.031338833771246466
statement investigator,-0.03131087378711098
upskirt,-0.03130824248774928
september 2006,-0.03130824248774928
drives,-0.03126266291534671
sca,-0.03121203520717388
serve,-0.031192446571876538
applicant year old,-0.031182863408412764
masturbation,-0.03117790271009189
applicant order,-0.031161652451395187
applicant thought applicant,-0.03102061027201289
security clearance,-0.030819373573664623
prognosis,-0.030819209370743332
provider,-0.03080346211199833
skill,-0.030792267764668015
good behavior,-0.030764372181756115
state applicant,-0.03072569275007861
suspend,-0.0307090448165944
thought applicant,-0.03064347382644059
seek sexual,-0.030617152043228648
iscr case,-0.030517851255463992
clothing,-0.03051196799364164
master degree,-0.030443774810577768
tr 29,-0.030397219378743255
workplace,-0.03039460019120787
evaluation applicant,-0.030365177499754713
month jail,-0.03032399476650319
allegation,-0.030247069766732644
applicant employer,-0.0302429444514143
combat,-0.030232357095933617
report sexual,-0.03022941885481258
commit,-0.030194373521191555
step,-0.030177414091661053
12 step,-0.030146467683474655
item 10,-0.03014333650734645
2012 2013,-0.030142143526082535
happened,-0.030135261439896952
attorney,-0.030069279259849997
sexual abuse,-0.03004048567511722
june 2016,-0.030034383501970748
guideline sor,-0.02998820994040036
mom,-0.029871337117519603
applicant hire,-0.029864720596426683
admission applicant,-0.029784394674098307
october 2018,-0.029783368988030634
avoid,-0.02974208383245928
pedophilic,-0.029722729535131467
pedophilic disorder,-0.029722729535131467
read erotic,-0.029722729535131467
relief,-0.029694864256872358
nudist,-0.02967754366739642
confront,-0.029651296916185257
applicant consume alcohol,-0.029534316418216727
applicant meet,-0.029527101125679443
applicant hire prostitute,-0.0295253327028619
therapy applicant,-0.029524776057980234
eip tr,-0.029439409879382088
evidence applicant,-0.029389785854493797
make payment,-0.029367238774908995
child pornography applicant,-0.02927768970483088
sexual assault child,-0.02926901833826814
fantasy,-0.029237173894207373
friends,-0.029200922575344474
2023 credit,-0.029195215219055742
field,-0.02913497013556076
park lot,-0.02912639158147115
advertisement,-0.02911437137234441
psychological evaluation,-0.029049678831101884
additional,-0.029031258854526676
understand,-0.0290239659349404
retire,-0.02899576481559155
daughter friend,-0.028988765118858565
2001 2015,-0.028976001414329926
reveal,-0.028944977710643593
sex offender treatment,-0.0289333776448755
offender treatment,-0.0289333776448755
services,-0.02891831229656051
approximately months,-0.028905322102755055
life,-0.028901173785894897
rehabilitation,-0.02887739209744157
illegal activities,-0.02883925221630918
finding fact thorough,-0.02878949591398875
fact thorough,-0.02878949591398875
line 18,-0.028764804427578755
applicant allegation sor,-0.028764804427578755
19 page line,-0.028764804427578755
admission applicant allegation,-0.028764804427578755
19 page,-0.028764804427578755
line 18 25,-0.028764804427578755
spouse unaware admission,-0.028764804427578755
unaware admission applicant,-0.028764804427578755
allegation sor tr,-0.028764804427578755
line 19 page,-0.028764804427578755
unaware admission,-0.028764804427578755
page line 18,-0.028764804427578755
applicant complete,-0.028751284662742807
undercover,-0.028748541105147712
applicant begin,-0.028735129849985493
motel,-0.028685012568653957
amend,-0.028661756007657028
medium,-0.028631247771859686
fail timely,-0.02862312979213145
applicant fail timely,-0.02862312979213145
applicant communicate,-0.028573158485555594
pornography addiction,-0.028495205884260334
suffer,-0.028485734253878167
applicant molest,-0.02848050072827531
abuse occur,-0.02848050072827531
molest,-0.02848050072827531
arrest,-0.028459352538321166
pend,-0.028434717648936347
online applicant,-0.02841787779207348
pursue,-0.028341371265974784
applicant spend,-0.028340181331843097
recently,-0.02828206544202688
colleague,-0.02819597440898605
doed,-0.028108408136217407
irs tax transcript,-0.028108011420557404
security applicant,-0.02809714364589042
applicant start,-0.028072828088628442
document correspondence,-0.028058332839523293
arrearage document,-0.028058332839523293
arrearage document correspondence,-0.028058332839523293
taxis tax year,-0.028058332839523293
monthly payment,-0.028058332839523293
club approximately,-0.028058332839523293
club approximately months,-0.028058332839523293
applicant make monthly,-0.028058332839523293
state tax authority,-0.028058332839523293
dancer strip club,-0.028058332839523293
applicant hire escort,-0.028058332839523293
purpose engage,-0.028058332839523293
dancer strip,-0.028058332839523293
aware extramarital affairs,-0.028058332839523293
affair dancer,-0.028058332839523293
affair dancer strip,-0.028058332839523293
purpose engage sexual,-0.028058332839523293
tax arrearage,-0.028058332839523293
