learning_rate,dropout_rate,accuracy,precision,recall,f1,fbeta,tn, fp, fn, tp
0.001,0.5,0.5922222222222222,0.7923387096774194,0.5981735159817352,0.6816999132697311,0.6132001872366984,140,103,264,393
0.001,0.1,0.7111111111111111,0.7769985974754559,0.8458015267175573,0.8099415204678363,0.8383777239709443,86,159,101,554
0.001,0.001,0.6588888888888889,0.782258064516129,0.7382039573820396,0.759592795614722,0.7423848155518139,108,135,172,485
0.1,0.5,0.73,0.73,1.0,0.8439306358381503,0.964332892998679,0,243,0,657
0.1,0.1,0.27111111111111114,0.0,0.0,0.0,0.0,244,0,656,0
0.1,0.001,0.27,0.0,0.0,0.0,0.0,243,0,657,0
1e-09,0.5,0.2722222222222222,1.0,0.001524390243902439,0.0030441400304414,0.001693480101608806,244,0,655,1
1e-09,0.1,0.33666666666666667,0.8470588235294118,0.10975609756097561,0.19433198380566802,0.12022040407413592,231,13,584,72
1e-09,0.001,0.27666666666666667,0.6842105263157895,0.019756838905775075,0.03840472673559823,0.02188183807439825,236,6,645,13
